video_id,video_path,label_id,label,display_label,category,modality,signer_id,take,enabled,fps,frames,duration
000_001,c:\Projects\signia-fsl-recognition\dynamic_raw\0\0.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,1,True,60.0,245,4.083333333333333
000_002,c:\Projects\signia-fsl-recognition\dynamic_raw\0\1.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,2,True,60.0,244,4.066666666666666
000_003,c:\Projects\signia-fsl-recognition\dynamic_raw\0\10.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,3,True,60.0,245,4.083333333333333
000_004,c:\Projects\signia-fsl-recognition\dynamic_raw\0\11.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,4,True,60.0,244,4.066666666666666
000_005,c:\Projects\signia-fsl-recognition\dynamic_raw\0\12.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,5,True,60.0,244,4.066666666666666
000_006,c:\Projects\signia-fsl-recognition\dynamic_raw\0\13.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,6,True,60.0,244,4.066666666666666
000_007,c:\Projects\signia-fsl-recognition\dynamic_raw\0\14.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,7,True,60.0,244,4.066666666666666
000_008,c:\Projects\signia-fsl-recognition\dynamic_raw\0\15.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,8,True,60.0,244,4.066666666666666
000_009,c:\Projects\signia-fsl-recognition\dynamic_raw\0\16.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,9,True,60.0,244,4.066666666666666
000_010,c:\Projects\signia-fsl-recognition\dynamic_raw\0\17.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,10,True,60.0,244,4.066666666666666
000_011,c:\Projects\signia-fsl-recognition\dynamic_raw\0\18.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,11,True,60.0,244,4.066666666666666
000_012,c:\Projects\signia-fsl-recognition\dynamic_raw\0\19.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,12,True,60.0,244,4.066666666666666
000_013,c:\Projects\signia-fsl-recognition\dynamic_raw\0\2.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,13,True,60.0,244,4.066666666666666
000_014,c:\Projects\signia-fsl-recognition\dynamic_raw\0\3.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,14,True,60.0,244,4.066666666666666
000_015,c:\Projects\signia-fsl-recognition\dynamic_raw\0\4.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,15,True,60.0,244,4.066666666666666
000_016,c:\Projects\signia-fsl-recognition\dynamic_raw\0\5.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,16,True,60.0,245,4.083333333333333
000_017,c:\Projects\signia-fsl-recognition\dynamic_raw\0\6.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,17,True,60.0,245,4.083333333333333
000_018,c:\Projects\signia-fsl-recognition\dynamic_raw\0\7.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,18,True,60.0,244,4.066666666666666
000_019,c:\Projects\signia-fsl-recognition\dynamic_raw\0\8.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,19,True,60.0,244,4.066666666666666
000_020,c:\Projects\signia-fsl-recognition\dynamic_raw\0\9.MOV,0,GOOD MORNING,Good Morning,GREETING,dynamic,unknown,20,True,60.0,244,4.066666666666666
